ID,Sex,Marital status,Age,Education,Income,Occupation,Settlement size
100000130,0,0,23,0,36029,0,2
100000131,1,0,35,1,69110,1,0
100000132,0,1,33,1,46013,0,0
100000133,0,0,18,1,79472,1,2
100000134,1,1,42,3,109994,1,1
100000135,1,0,26,1,88475,1,0
100000136,1,0,33,0,45949,0,2
100000137,1,0,18,1,41308,0,0
100000138,0,1,47,1,105540,0,2
100000139,1,0,44,1,73396,0,1
100000140,1,1,40,3,167019,2,2
100000141,0,0,24,1,47041,0,0
100000142,0,0,29,2,120342,2,0
100000143,0,1,50,1,122277,1,0
100000144,1,0,32,0,27855,0,0
100000145,1,1,38,0,61729,0,1
100000146,1,0,37,2,95231,1,2
100000147,1,0,22,1,67711,1,0
100000148,0,0,53,1,83256,1,0
100000149,1,0,18,0,59813,1,1
100000150,0,1,38,2,94564,1,2
100000151,0,0,34,2,77889,1,2
100000152,0,0,18,1,53431,0,0
100000153,0,0,39,0,76319,1,1
100000154,0,1,41,3,168299,2,2
100000155,1,0,36,0,55305,0,1
100000156,1,0,25,1,60055,0,1
100000157,0,1,40,2,92992,1,1
100000158,1,1,48,2,99831,1,2
100000159,0,1,38,1,70981,0,1
100000160,1,0,56,2,129262,2,2
100000161,0,0,45,2,137847,1,2
100000162,1,0,44,3,136658,1,0
100000163,0,0,52,1,100051,1,0
100000164,1,0,27,2,125080,2,0
100000165,1,1,29,2,87577,1,0
100000166,1,1,41,3,105536,1,0
100000167,0,1,41,1,98809,0,0
100000168,1,1,53,3,127435,1,1
100000169,0,0,49,1,88541,0,0
100000170,0,0,37,0,41388,0,1
100000171,1,0,38,0,87914,1,2
100000172,0,0,32,0,53768,0,0
100000173,0,0,31,1,30797,0,0
100000174,1,1,30,2,95392,2,1
100000175,1,0,46,2,99963,1,1
100000176,1,1,29,1,68495,1,0
100000177,1,0,31,0,61160,1,0
100000178,1,0,37,2,100004,1,2
100000179,0,0,29,2,85806,1,1
100000180,1,0,32,0,41835,0,2
100000181,0,0,18,1,49696,1,0
100000182,1,1,40,2,102882,1,0
100000183,0,0,32,2,111426,2,1
100000184,0,0,38,2,79836,1,0
100000185,1,1,40,1,73144,1,1
100000186,1,0,18,0,34070,0,2
100000187,1,0,64,2,108903,1,2
100000188,1,1,37,0,75955,1,1
100000189,1,1,38,0,71735,1,0
100000190,0,0,18,0,46166,1,2
100000191,1,1,43,2,127805,2,2
100000192,0,0,41,3,123776,1,2
100000193,1,1,32,2,102773,1,0
100000194,1,1,39,2,85623,1,0
100000195,1,1,52,3,132964,1,2
100000196,1,1,32,2,75791,1,0
100000197,0,1,26,2,87879,1,2
100000198,1,1,53,1,90961,1,1
100000199,0,0,40,1,126842,0,2
100000200,1,0,35,2,118018,1,1
100000201,0,1,64,3,156852,2,0
100000202,0,1,39,0,66684,0,2
100000203,1,0,35,1,43838,0,1
100000204,0,0,40,1,55989,0,1
100000205,0,0,32,2,118198,1,2
100000206,1,1,39,1,69992,0,1
100000207,0,1,39,2,132960,2,0
100000208,1,1,29,1,53874,0,0
100000209,0,0,34,2,136854,2,2
100000210,1,0,40,2,135273,2,2
100000211,0,0,41,1,71247,0,0
100000212,0,1,44,3,121285,1,0
100000213,1,0,46,2,126553,1,1
100000214,1,1,40,2,105876,1,2
100000215,0,0,43,1,89668,1,1
100000216,0,1,32,0,39044,0,1
100000217,0,0,33,0,49832,0,1
100000218,0,0,49,1,96572,1,0
100000219,1,0,18,0,51108,1,0
100000220,0,0,41,3,100597,1,2
100000221,1,0,74,2,134464,2,0
100000222,1,0,18,1,52997,0,2
100000223,0,1,54,1,84925,0,2
100000224,0,1,18,1,35514,0,0
100000225,0,1,41,2,120912,2,1
100000226,1,0,56,2,123873,1,0
100000227,1,1,54,3,140567,1,1
100000228,0,0,25,0,56610,0,0
100000229,0,0,20,0,27497,1,0
100000230,1,0,19,0,23260,0,1
100000231,1,1,44,3,105082,1,1
100000232,0,0,31,0,83246,1,1
100000233,0,1,36,0,62821,0,1
100000234,1,0,39,0,46191,0,1
100000235,1,0,41,3,125385,2,0
100000236,0,1,42,1,68210,0,0
100000237,0,1,37,0,64646,0,0
100000238,0,0,18,1,67908,0,0
100000239,1,0,53,1,99484,1,2
100000240,0,0,18,0,51280,0,1
100000241,0,0,50,3,125800,1,1
100000242,0,0,28,1,76697,0,0
100000243,0,1,33,0,88611,0,1
100000244,1,1,29,2,113018,1,2
100000245,1,0,31,0,65541,0,2
100000246,0,1,35,0,21488,0,2
100000247,0,0,32,0,65680,0,2
100000248,0,0,22,0,20000,0,1
100000249,1,0,46,3,116610,1,1
100000250,1,0,29,0,51750,0,0
100000251,0,0,52,1,48643,0,0
100000252,1,0,34,0,85871,0,1
100000253,1,0,27,2,95173,1,2
100000254,0,1,41,2,118082,1,1
100000255,1,0,46,2,110377,1,2
100000256,0,1,24,0,53152,0,1
100000257,0,1,32,0,52574,1,0
100000258,1,1,53,2,123203,1,2
100000259,0,1,23,0,20000,0,0
100000260,1,0,25,2,99935,1,0
100000261,1,0,37,0,75458,1,0
100000262,1,0,21,0,35231,0,1
100000263,0,1,18,0,33397,0,1
100000264,0,1,18,0,49740,1,2
100000265,1,0,40,1,59603,0,1
100000266,1,0,43,3,118531,1,0
100000267,1,0,43,2,124484,2,0
100000268,1,1,40,3,123534,1,0
100000269,1,1,21,1,72639,0,1
100000270,0,1,44,2,143626,2,1
100000271,0,1,49,2,126876,1,2
100000272,0,1,27,1,57343,0,0
100000273,1,0,47,3,135234,2,0
100000274,0,0,31,1,73857,0,0
100000275,1,0,38,0,43147,0,1
100000276,1,0,40,2,105840,2,0
100000277,0,0,18,0,51126,0,2
100000278,1,1,53,2,114711,2,1
100000279,0,0,25,2,116907,2,2
100000280,0,0,34,1,55251,1,0
100000281,0,0,30,1,77853,1,2
100000282,1,1,41,1,123563,0,1
100000283,0,1,41,2,89966,1,2
100000284,0,0,36,1,90160,0,2
100000285,0,1,52,1,63342,0,0
100000286,1,0,39,0,37724,0,1
100000287,0,0,31,1,49196,0,2
100000288,0,0,18,0,59048,1,0
100000289,0,0,32,2,121508,2,2
100000290,0,1,32,0,41339,0,0
100000291,1,1,25,0,88142,1,1
100000292,1,1,25,2,65239,1,0
100000293,1,1,43,1,69146,1,2
100000294,1,1,48,1,106915,1,2
100000295,1,0,58,2,148378,1,2
100000296,1,1,49,3,138196,1,2
100000297,0,0,27,0,58105,0,0
100000298,1,0,39,0,83741,1,0
100000299,0,1,19,0,52044,0,2
100000300,0,0,44,2,117633,2,1
100000301,0,1,40,3,122929,1,1
100000302,1,0,28,0,91248,1,2
100000303,0,0,34,2,100504,1,0
100000304,0,0,32,2,99270,1,1
100000305,0,0,28,2,94002,1,0
100000306,1,1,51,3,141543,2,0
100000307,0,1,73,3,167586,1,2
100000308,0,0,45,2,106521,1,1
100000309,1,0,48,1,93745,0,0
100000310,0,0,37,1,82541,0,2
100000311,0,0,31,1,58621,0,0
100000312,1,0,62,3,112162,1,1
100000313,1,0,31,2,86771,2,1
100000314,1,1,40,2,111370,1,2
100000315,0,0,34,0,44555,0,1
100000316,1,0,43,2,145156,1,2
100000317,0,0,35,1,63945,0,2
100000318,0,0,43,1,78988,1,1
100000319,1,0,20,0,63813,1,0
100000320,0,0,34,2,62784,1,0
100000321,0,1,52,2,124673,1,2
100000322,0,0,23,1,49857,1,0
100000323,0,0,28,0,32598,1,2
100000324,0,1,52,1,61379,0,2
100000325,1,1,40,3,126333,1,2
100000326,1,1,48,2,111741,1,1
100000327,0,0,18,0,25895,0,0
100000328,0,0,37,0,47269,0,2
100000329,1,0,20,0,32069,0,0
100000330,0,1,19,1,49593,0,0
100000331,0,0,40,1,91055,1,1
100000332,0,0,50,3,144446,1,0
100000333,0,0,18,1,59013,0,0
100000334,0,0,22,1,69934,1,2
100000335,1,0,28,2,85756,1,1
100000336,1,1,34,2,86254,1,1
100000337,1,0,19,0,48444,0,2
100000338,1,0,63,1,111826,0,2
100000339,0,1,43,3,153938,1,2
100000340,1,0,31,2,108412,1,2
100000341,0,0,29,1,52217,0,1
100000342,0,1,63,2,107610,1,1
100000343,1,1,62,3,141289,2,2
100000344,1,0,30,2,114852,1,0
100000345,1,0,40,3,115004,1,1
100000346,1,1,51,3,149402,2,2
100000347,1,0,21,1,90301,0,2
100000348,0,0,28,2,94127,1,2
100000349,0,1,52,3,136465,1,2
100000350,0,0,27,2,109267,1,2
100000351,0,1,30,2,69812,1,1
100000352,1,0,19,1,25411,0,0
100000353,0,0,26,1,127655,1,1
100000354,1,1,44,2,114043,1,1
100000355,1,0,25,0,20000,0,0
100000356,0,0,20,0,30816,0,1
100000357,1,0,28,0,56365,1,0
100000358,0,0,57,1,105101,1,0
100000359,0,0,37,2,109656,1,2
100000360,1,1,28,2,78376,1,1
100000361,1,0,37,1,76140,0,2
100000362,0,1,41,3,165957,2,2
100000363,0,1,37,2,102223,1,2
100000364,1,0,18,0,20799,0,1
100000365,0,0,39,2,100456,2,0
100000366,0,0,33,0,23636,0,2
100000367,0,0,45,1,93084,0,1
100000368,0,0,19,1,78701,1,1
100000369,1,0,48,2,102641,1,0
100000370,0,1,29,0,41341,0,0
100000371,1,1,18,1,63666,0,0
100000372,0,1,51,2,100795,1,0
100000373,0,1,29,2,85022,1,2
100000374,1,0,40,3,128872,1,0
100000375,0,0,33,1,42748,1,0
100000376,0,0,48,2,114673,1,2
100000377,0,0,48,1,86465,0,0
100000378,0,1,49,3,150726,1,1
100000379,0,0,44,2,107737,1,1
100000380,0,1,18,0,28777,0,0
100000381,1,0,18,0,28153,0,0
100000382,0,1,37,2,127250,2,2
100000383,0,0,23,0,68330,1,2
100000384,1,0,41,3,142186,1,1
100000385,1,0,37,2,102561,1,0
100000386,0,0,18,0,63627,0,1
100000387,0,0,22,0,49728,0,1
100000388,1,0,21,0,27021,0,0
100000389,1,1,24,0,66867,1,2
100000390,1,0,32,2,159872,2,2
100000391,0,0,43,2,118957,2,1
100000392,0,1,51,1,106898,1,0
100000393,1,0,23,0,55790,1,2
100000394,1,1,28,0,54303,0,1
100000395,1,1,54,1,84603,0,2
100000396,1,1,46,2,104004,1,1
100000397,0,0,38,0,41220,0,1
100000398,0,0,18,1,41880,0,1
100000399,1,1,23,0,52411,0,2
100000400,1,0,37,2,131873,1,2
100000401,1,0,28,2,129891,2,2
100000402,1,1,59,3,130594,1,2
100000403,0,0,36,0,51107,0,0
100000404,0,1,38,2,58509,1,0
100000405,1,0,22,0,60005,1,1
100000406,0,0,22,1,89884,0,1
100000407,1,0,27,1,52254,1,2
100000408,1,0,27,1,55326,0,1
100000409,1,1,32,1,87005,0,2
100000410,0,0,39,2,133056,1,1
100000411,0,1,38,0,72817,0,1
100000412,1,1,47,1,61674,0,0
100000413,0,1,19,1,70661,0,0
100000414,1,1,38,0,105802,1,2
100000415,0,0,38,1,64151,0,1
100000416,0,1,54,3,161232,2,2
100000417,1,0,32,2,77936,1,0
100000418,1,1,39,1,65401,0,1
100000419,1,0,25,1,71537,0,0
100000420,0,0,40,3,95298,1,0
100000421,1,0,40,3,146771,1,2
100000422,1,0,27,0,58728,0,2
100000423,0,0,30,0,61478,0,2
100000424,1,1,35,1,65934,0,2
100000425,1,1,42,2,110936,1,0
100000426,1,0,21,0,30623,0,0
100000427,0,0,46,1,72817,0,1
100000428,1,0,31,2,74627,1,1
100000429,0,0,58,1,85664,0,1
100000430,1,1,53,3,133517,1,2
100000431,1,0,30,2,130734,2,1
100000432,1,0,27,1,62340,0,1
100000433,0,1,65,2,116570,1,0
100000434,1,0,43,1,85239,1,1
100000435,0,0,42,3,105185,1,0
100000436,1,1,30,0,36792,0,1
100000437,0,1,33,2,118570,1,2
100000438,0,0,45,1,60719,0,2
100000439,0,1,42,2,97071,2,0
100000440,0,1,25,1,70454,0,2
100000441,1,1,50,2,143072,1,2
100000442,0,1,39,2,109667,1,1
100000443,1,0,23,0,39214,0,1
100000444,1,0,47,3,157897,1,1
100000445,1,0,33,0,46635,0,0
100000446,0,1,44,1,57065,0,0
100000447,1,0,28,1,63423,0,1
100000448,1,1,39,0,81781,1,0
100000449,1,0,18,0,52027,1,1
100000450,1,0,39,0,66606,0,1
100000451,1,0,18,0,40541,0,2
100000452,0,1,37,0,47056,0,0
100000453,1,0,18,0,42332,0,1
100000454,0,1,34,0,33370,1,1
100000455,0,1,44,2,146930,2,1
100000456,1,0,41,1,87713,0,2
100000457,0,0,49,2,118840,1,1
100000458,1,0,22,1,78269,1,1
100000459,0,0,54,3,139436,2,0
100000460,1,1,54,1,101300,0,1
100000461,1,0,20,1,61772,0,2
100000462,1,0,25,0,55715,0,1
100000463,1,1,28,2,89439,2,1
100000464,0,0,35,0,80353,0,1
100000465,0,1,37,2,133412,2,2
100000466,0,0,18,1,68309,1,0
100000467,0,0,42,1,47803,0,0
100000468,0,0,32,1,57600,0,2
100000469,0,0,23,0,47084,0,1
100000470,0,1,46,2,59873,1,1
100000471,1,0,31,0,65908,0,1
100000472,0,1,49,3,127103,2,0
100000473,1,0,41,3,107841,1,1
100000474,0,0,31,1,54263,0,0
100000475,1,1,49,3,174703,2,1
100000476,1,1,45,2,131245,2,1
100000477,0,0,29,1,96593,1,1
100000478,1,0,18,0,25370,0,2
100000479,0,1,28,0,43219,0,2
100000480,0,1,42,1,75669,0,0
100000481,0,0,32,1,53107,0,2
100000482,0,0,56,2,96977,2,1
100000483,0,1,38,0,41664,0,1
100000484,1,0,37,2,103651,1,2
100000485,0,1,40,2,100320,1,1
100000486,0,1,24,0,63614,1,0
100000487,1,1,33,1,80690,0,2
100000488,0,0,27,1,59717,0,2
100000489,0,1,18,0,64512,1,1
100000490,0,0,18,0,34276,0,1
100000491,1,1,44,1,93719,1,1
100000492,1,0,30,0,39442,0,2
100000493,1,1,33,1,65142,0,0
100000494,1,0,18,0,23202,0,0
100000495,0,0,28,2,120775,1,2
100000496,1,1,44,3,100943,1,1
100000497,0,1,36,0,95711,1,2
100000498,1,0,29,2,85529,1,2
100000499,1,1,53,1,93916,0,2
100000500,1,0,34,2,94515,2,0
100000501,0,0,31,0,41095,0,2
100000502,0,0,49,2,121947,1,1
100000503,0,0,18,1,20000,0,0
100000504,0,1,42,1,104516,1,1
100000505,1,0,21,0,70655,0,1
100000506,1,0,25,0,52845,0,1
100000507,1,0,27,0,28490,0,2
100000508,1,0,36,2,110659,1,1
100000509,1,0,36,1,72531,0,2
100000510,0,0,39,0,68035,1,0
100000511,1,1,37,1,94656,1,2
100000512,0,1,52,2,142057,2,0
100000513,0,1,55,2,142055,1,1
100000514,1,1,44,1,77695,0,1
100000515,1,0,44,3,152162,1,2
100000516,1,0,30,2,81424,1,0
100000517,1,0,22,0,84120,0,2
100000518,0,1,42,1,77018,1,1
100000519,1,1,35,2,96411,2,0
100000520,1,1,45,2,103266,1,1
100000521,1,0,18,0,49576,0,1
100000522,1,1,67,1,114448,0,2
100000523,1,0,20,0,20000,0,0
100000524,1,0,35,0,66593,1,0
100000525,0,1,47,2,108678,1,0
100000526,1,1,18,0,83982,0,2
100000527,0,0,28,1,84005,1,2
100000528,1,0,18,0,24453,0,2
100000529,0,1,18,1,47384,1,1
100000530,1,0,18,1,41553,0,0
100000531,1,1,36,0,71690,1,0
100000532,1,1,39,0,65777,0,2
100000533,1,1,31,0,54780,0,2
100000534,1,0,50,3,108299,1,0
100000535,0,0,52,3,121198,1,0
100000536,0,0,35,0,63766,1,0
100000537,1,0,32,1,101943,0,1
100000538,1,0,32,1,62437,0,1
100000539,1,0,30,2,92750,2,0
100000540,0,1,51,3,130110,1,2
100000541,0,0,38,0,50052,0,1
100000542,0,0,31,1,38868,0,2
100000543,0,0,32,2,106058,1,2
100000544,0,1,42,1,74175,0,1
100000545,1,0,30,1,64068,0,1
100000546,0,0,39,1,45941,0,0
100000547,1,0,35,2,104897,1,2
100000548,0,0,51,3,152916,2,1
100000549,0,1,49,1,109616,1,1
100000550,0,1,18,1,84847,1,2
100000551,1,1,33,2,87523,1,2
100000552,0,1,44,1,95641,1,0
100000553,0,1,30,2,132440,2,0
100000554,1,0,45,2,105308,1,1
100000555,0,0,39,1,22143,0,0
100000556,1,1,42,2,111544,1,0
100000557,0,0,34,1,81287,0,1
100000558,1,0,39,0,62950,0,2
100000559,0,1,41,1,65038,0,1
100000560,0,0,18,0,55261,0,1
100000561,1,1,24,0,63300,0,2
100000562,1,0,23,0,70005,1,2
100000563,1,1,55,1,88316,0,2
100000564,1,0,39,2,100017,1,0
100000565,1,0,40,2,141497,2,1
100000566,1,1,37,0,75593,1,1
100000567,1,0,29,2,79341,1,1
100000568,0,0,26,1,42401,0,0
100000569,1,0,45,1,85267,0,2
100000570,0,0,31,1,97466,1,2
100000571,0,1,54,2,108428,1,1
100000572,1,0,37,1,79736,0,1
100000573,0,1,36,1,86088,1,2
100000574,0,0,32,1,71122,0,0
100000575,0,1,34,2,138387,2,0
100000576,1,1,35,2,106221,1,0
100000577,1,1,53,2,125545,1,2
100000578,1,1,63,3,155768,1,2
100000579,1,0,21,0,36125,1,2
100000580,1,0,38,1,82824,0,0
100000581,1,0,44,1,68308,0,2
100000582,1,0,24,0,27226,0,1
100000583,1,0,27,0,58058,1,1
100000584,0,0,30,1,58822,1,0
100000585,0,0,18,1,71247,1,1
100000586,1,0,43,3,124925,1,2
100000587,0,0,35,2,106810,1,2
100000588,1,1,34,1,73399,0,0
100000589,0,0,36,1,79525,0,2
100000590,0,0,38,2,84902,1,0
100000591,1,1,63,3,142028,1,2
100000592,0,1,37,0,30458,0,0
100000593,0,1,45,1,79577,0,0
100000594,0,0,29,1,50897,0,2
100000595,0,0,39,1,73277,1,0
100000596,0,0,31,2,140841,2,1
100000597,1,0,33,2,93073,1,1
100000598,0,0,24,1,65847,0,2
100000599,0,0,25,2,118840,2,1
100000600,1,1,41,1,56480,1,0
100000601,1,1,44,3,132458,1,2
100000602,0,1,41,2,130888,2,0
100000603,0,0,27,2,123648,2,2
100000604,0,0,39,2,119596,1,2
100000605,0,0,18,0,20000,0,0
100000606,0,0,47,2,109700,1,1
100000607,0,0,35,1,67733,0,2
100000608,0,1,38,0,43935,0,0
100000609,0,0,49,1,47627,0,0
100000610,0,1,30,1,79026,1,2
100000611,1,0,47,2,108184,1,0
100000612,0,0,30,1,78821,1,2
100000613,0,1,42,2,121073,1,2
100000614,0,0,30,0,96332,1,2
100000615,0,0,39,0,76663,1,1
100000616,0,1,53,2,107306,1,0
100000617,0,1,27,2,110369,1,2
100000618,1,1,28,1,53562,0,2
100000619,1,0,31,2,116798,2,2
100000620,0,0,39,2,98727,2,0
100000621,0,1,68,2,113398,1,1
100000622,0,0,28,1,92510,0,2
100000623,0,0,18,0,32600,0,2
100000624,0,0,27,1,78243,1,1
100000625,1,0,18,0,51006,1,1
100000626,0,0,29,0,38559,0,1
100000627,0,1,36,0,54200,0,2
100000628,1,0,24,0,57749,1,1
100000629,1,0,27,2,98485,1,1
100000630,1,0,18,0,31729,0,1
100000631,1,0,38,1,81226,0,2
100000632,0,1,26,1,83299,1,2
100000633,0,1,48,3,112878,1,0
100000634,1,1,48,1,72313,0,1
100000635,1,0,25,1,90025,0,2
100000636,1,0,31,1,52046,0,2
100000637,1,0,36,0,76529,1,2
100000638,1,1,45,1,91202,0,2
100000639,1,1,18,0,36418,0,0
100000640,1,0,35,0,43470,0,2
100000641,0,1,58,1,67300,0,1
100000642,1,1,34,1,91317,1,2
100000643,0,1,38,0,61514,0,0
100000644,0,0,35,0,72939,1,0
100000645,0,0,21,0,49836,1,0
100000646,0,0,47,2,112466,1,2
100000647,1,0,39,2,99976,1,1
100000648,1,0,37,2,99256,1,1
100000649,1,0,44,3,101748,1,1
100000650,0,0,45,1,60641,0,2
100000651,0,0,18,1,70303,1,1
100000652,0,1,41,2,144641,2,0
100000653,1,0,28,2,89825,1,0
100000654,1,1,37,2,104013,2,2
100000655,1,0,27,1,42524,0,1
100000656,1,0,25,2,90932,1,1
100000657,0,0,47,2,103007,1,2
100000658,1,0,35,1,68361,0,1
100000659,0,0,32,1,59902,0,2
100000660,1,0,32,1,59056,0,2
100000661,0,0,37,2,110299,2,2
100000662,1,1,35,0,84212,1,2
100000663,1,0,18,0,49275,0,2
100000664,0,0,25,2,105839,1,2
100000665,0,1,33,1,81356,0,2
100000666,1,1,45,3,121216,1,1
100000667,0,1,52,1,88317,0,0
100000668,0,0,24,0,20000,0,0
100000669,0,1,59,1,87283,0,0
100000670,0,1,37,1,60827,0,1
100000671,1,0,42,3,113802,1,1
100000672,1,0,29,1,78564,1,2
100000673,0,0,29,1,88801,1,1
100000674,1,0,53,2,125705,1,2
100000675,1,0,33,0,84812,1,1
100000676,0,0,35,1,80295,1,2
100000677,0,1,50,3,122672,1,0
100000678,1,1,57,3,111349,1,0
100000679,0,0,18,1,67759,0,2
100000680,1,0,34,2,120544,1,1
100000681,0,0,36,0,49815,1,0
100000682,1,1,58,2,143205,1,2
100000683,1,1,66,3,137970,2,0
100000684,0,0,35,0,72544,0,1
100000685,1,0,41,2,100068,1,0
100000686,0,1,46,3,144945,2,0
100000687,0,0,50,2,97181,1,1
100000688,0,1,32,0,84168,1,0
100000689,0,0,46,3,143456,2,1
100000690,1,0,28,1,53884,0,1
100000691,0,0,18,1,78845,1,0
100000692,1,0,20,1,55001,1,0
100000693,0,1,39,0,58523,0,2
100000694,1,1,46,3,139587,2,1
100000695,0,0,18,0,26248,0,1
100000696,0,1,18,0,73477,1,1
100000697,0,0,36,2,146566,2,1
100000698,0,0,18,0,23961,0,1
100000699,0,0,43,3,145640,1,1
100000700,0,1,49,3,143463,1,1
100000701,1,1,18,0,24559,0,0
100000702,1,1,46,3,134582,1,1
100000703,1,0,34,1,94729,0,1
100000704,0,0,53,1,79641,0,2
100000705,1,0,40,2,89350,1,0
100000706,1,1,34,2,114276,2,2
100000707,1,0,38,0,76193,0,0
100000708,1,0,48,3,141763,1,1
100000709,1,0,39,1,78257,1,1
100000710,0,1,37,0,59146,0,2
100000711,0,0,19,0,56529,0,2
100000712,1,1,42,1,80557,1,0
100000713,1,0,37,2,128237,1,2
100000714,1,1,59,2,113884,1,0
100000715,0,0,36,1,85877,0,1
100000716,0,1,36,1,84685,1,0
100000717,1,0,29,2,128337,2,2
100000718,0,1,45,3,108364,1,0
100000719,1,1,34,2,114200,1,2
100000720,1,0,28,1,93395,1,1
100000721,0,1,56,1,89151,1,2
100000722,0,0,58,3,151874,1,2
100000723,0,1,31,0,95744,1,2
100000724,1,1,24,0,48990,0,0
100000725,1,1,50,3,143391,1,2
100000726,0,0,27,1,50270,0,0
100000727,0,0,71,3,122832,1,0
100000728,1,0,35,0,31497,0,0
100000729,0,1,48,1,92814,1,1
100000730,1,0,21,0,38154,1,0
100000731,1,0,36,0,83027,1,2
100000732,1,1,50,3,114590,1,0
100000733,0,1,42,1,77029,0,2
